resolution,viewport,frequency
1024,320,1
1024,571,1
1024,576,1
1024,577,3
1024,686,1
1024,694,1
1024,705,1
1024,711,1
1024,723,2
1024,724,2
1024,728,1
1024,738,1
1024,748,1
1024,754,1
1024,760,1
1024,766,1
1024,767,2
1024,769,1
1024,771,2
1024,772,4
1024,784,2
1024,787,2
1024,789,1
1024,791,1
1024,792,1
1024,799,3
1024,800,1
1024,801,2
1024,804,1
1024,806,2709
1024,807,1
1024,819,1
1024,832,1
1024,839,1
1024,864,1
1024,869,1
1024,880,1
1024,881,2
1024,886,3
1024,908,2
1024,912,1
1024,913,1
1024,918,1
1024,921,2
1024,923,1
1024,929,2
1024,930,1
1024,934,3
1024,936,1
1024,938,1
1024,943,1
1024,945,1
1024,947,2
1024,948,3
1024,949,1
1024,951,1
1024,953,1
1024,955,3
1024,959,2
1024,961,2
1024,962,3
1024,963,2
1024,965,1
1024,966,2
1024,967,3
1024,969,2
1024,970,4
1024,971,1
1024,972,2
1024,973,1
1024,974,2
1024,975,1
1024,977,1
1024,978,2
1024,979,1
1024,980,7
1024,981,10
1024,982,6
1024,984,2
1024,985,2
1024,986,5
1024,987,10
1024,988,2
1024,989,9
1024,990,3
1024,991,3
1024,992,2
1024,993,6
1024,994,17
1024,995,21
1024,996,7
1024,997,1
1024,999,4
1024,1000,5
1024,1001,9
1024,1002,6
1024,1003,273
1024,1004,80
1024,1005,6
1024,1006,4
1024,1007,45
1024,1008,9
1024,1010,2
1024,1011,5
1024,1012,2719
1024,1015,10
1024,1016,9
1024,1020,2
1024,1022,1
1024,1023,1
1024,1024,532
1024,1026,1
1024,1040,41
1024,1050,1
1024,1135,1
1366,450,1
1366,619,1
1366,624,1
1366,667,1
1366,684,1
1366,698,1
1366,721,1
1366,763,2
1366,782,1
1366,784,1
1366,794,1
1366,802,1
1366,815,1
1366,816,1
1366,817,1
1366,821,1
1366,827,1
1366,836,2
1366,837,9
1366,886,1
1366,901,2
1366,927,3
1366,929,1
1366,939,1
1366,943,1
1366,948,1
1366,950,2
1366,952,1
1366,972,1
1366,980,1
1366,982,1
1366,986,1
1366,988,1
1366,990,1
1366,995,1
1366,1000,2
1366,1002,2
1366,1008,2
1366,1013,2
1366,1022,1
1366,1024,9
1366,1025,1
1366,1026,1
1366,1032,1
1366,1034,8
1366,1036,1
1366,1037,13
1366,1042,1
1366,1047,1
1366,1050,3
1366,1051,3
1366,1055,2
1366,1061,1
1366,1066,4
1366,1067,1
1366,1074,1
1366,1075,2
1366,1076,1
1366,1077,1
1366,1084,1
1366,1087,3
1366,1089,1
1366,1092,6
1366,1093,1
1366,1095,1
1366,1096,1
1366,1097,1
1366,1104,3
1366,1109,1
1366,1112,1
1366,1125,5
1366,1133,1
1366,1137,1
1366,1138,3
1366,1139,2
1366,1141,1
1366,1143,1
1366,1150,2
1366,1162,2
1366,1163,1
1366,1167,1
1366,1174,1
1366,1175,1
1366,1176,1
1366,1177,8
1366,1178,1
1366,1186,1
1366,1187,1
1366,1189,1
1366,1190,2
1366,1191,2
1366,1193,1
1366,1194,1
1366,1196,1
1366,1198,1
1366,1200,1
1366,1212,2
1366,1218,1
1366,1222,1
1366,1224,1
1366,1236,3
1366,1238,1
1366,1241,2
1366,1243,1
1366,1249,1
1366,1250,1
1366,1252,2
1366,1255,1
1366,1256,1
1366,1257,2
1366,1258,1
1366,1259,1
1366,1261,4
1366,1262,3
1366,1264,1
1366,1265,5
1366,1266,1
1366,1267,1
1366,1271,1
1366,1272,2
1366,1273,1
1366,1275,1
1366,1277,2
1366,1278,1
1366,1280,4
1366,1281,1
1366,1282,1
1366,1283,2
1366,1287,4
1366,1289,6
1366,1290,2
1366,1291,1
1366,1293,1
1366,1295,1
1366,1297,1
1366,1298,3
1366,1300,2
1366,1301,9
1366,1302,3
1366,1303,1
1366,1304,24
1366,1306,2
1366,1308,4
1366,1309,3
1366,1311,1
1366,1314,1
1366,1315,3
1366,1317,8
1366,1318,7
1366,1319,2
1366,1320,4
1366,1321,1
1366,1322,2
1366,1323,1
1366,1325,2
1366,1328,1
1366,1329,2
1366,1330,1
1366,1331,1
1366,1332,3
1366,1333,1
1366,1334,2
1366,1335,3
1366,1336,1
1366,1338,4
1366,1339,5
1366,1340,1
1366,1341,18
1366,1342,3
1366,1343,5
1366,1344,5
1366,1345,193
1366,1346,14
1366,1347,4
1366,1348,11
1366,1349,2
1366,1350,20
1366,1351,3
1366,1352,13
1366,1353,2
1366,1354,1
1366,1356,1
1366,1358,3
1366,1360,2
1366,1361,1
1366,1364,6
1366,1365,3
1366,1366,2340
1366,1442,1
1366,1517,3
1366,1600,2
1366,1639,1
1366,1680,1
1366,1821,4
1366,1899,1
1280,320,9
1280,474,1
1280,492,1
1280,571,1
1280,594,1
1280,649,1
1280,740,1
1280,746,1
1280,752,1
1280,760,1
1280,763,3
1280,765,1
1280,771,3
1280,772,1
1280,784,4
1280,788,1
1280,800,2
1280,805,1
1280,809,1
1280,810,1
1280,812,1
1280,821,1
1280,826,1
1280,828,1
1280,859,1
1280,862,1
1280,896,1
1280,900,2
1280,910,1
1280,917,2
1280,920,1
1280,927,1
1280,932,2
1280,942,1
1280,944,1
1280,945,1
1280,947,1
1280,952,1
1280,954,1
1280,955,1
1280,959,1
1280,960,1
1280,964,1
1280,965,4
1280,967,1
1280,968,2
1280,969,1
1280,970,3
1280,972,1
1280,973,1
1280,976,2
1280,977,3
1280,979,3
1280,980,33
1280,981,1
1280,982,1
1280,984,1
1280,985,1
1280,987,1
1280,990,1
1280,994,1
1280,996,2
1280,997,1
1280,998,1
1280,999,1
1280,1000,1
1280,1003,1
1280,1004,2
1280,1005,1
1280,1006,1
1280,1007,1
1280,1008,1
1280,1010,1
1280,1012,2
1280,1013,1
1280,1015,1
1280,1020,2
1280,1023,1
1280,1024,49
1280,1025,2
1280,1026,1
1280,1028,1
1280,1030,1
1280,1032,1
1280,1034,7
1280,1035,1
1280,1036,1
1280,1037,5
1280,1039,1
1280,1040,5
1280,1042,1
1280,1043,1
1280,1046,2
1280,1048,1
1280,1050,4
1280,1052,4
1280,1054,1
1280,1055,6
1280,1056,1
1280,1057,2
1280,1058,2
1280,1059,1
1280,1062,1
1280,1065,1
1280,1066,3
1280,1067,1
1280,1068,2
1280,1071,1
1280,1072,2
1280,1074,1
1280,1075,2
1280,1076,1
1280,1077,2
1280,1080,5
1280,1082,1
1280,1083,1
1280,1085,1
1280,1086,2
1280,1088,1
1280,1092,1
1280,1094,3
1280,1095,2
1280,1096,1
1280,1098,1
1280,1099,2
1280,1100,1
1280,1101,1
1280,1103,2
1280,1104,2
1280,1105,1
1280,1108,1
1280,1109,1
1280,1111,3
1280,1112,1
1280,1115,2
1280,1118,2
1280,1121,2
1280,1122,2
1280,1123,1
1280,1124,2
1280,1126,2
1280,1127,2
1280,1128,2
1280,1131,4
1280,1132,1
1280,1133,1
1280,1134,2
1280,1135,4
1280,1136,1
1280,1138,1
1280,1142,2
1280,1147,1
1280,1150,4
1280,1151,1
1280,1152,2
1280,1153,1
1280,1154,4
1280,1156,2
1280,1157,7
1280,1158,1
1280,1159,2
1280,1161,1
1280,1162,1
1280,1163,5
1280,1164,1
1280,1166,2
1280,1168,1
