resolution,viewport,frequency
1366,213,1
1366,316,1
1366,360,2
1366,465,1
1366,504,1
1366,515,1
1366,571,1
1366,574,1
1366,601,3
1366,603,2
1366,604,1
1366,610,2
1366,616,1
1366,624,2
1366,634,1
1366,649,1
1366,655,1
1366,661,1
1366,666,1
1366,667,2
1366,673,1
1366,684,1
1366,699,1
1366,702,1
1366,706,1
1366,707,1
1366,708,1
1366,724,1
1366,730,1
1366,731,1
1366,739,1
1366,740,1
1366,741,1
1366,748,1
1366,750,1
1366,753,1
1366,757,1
1366,759,1
1366,761,1
1366,763,1
1366,771,3
1366,776,2
1366,784,1
1366,787,1
1366,789,1
1366,792,5
1366,800,2
1366,812,1
1366,815,1
1366,816,8
1366,824,1
1366,825,1
1366,828,2
1366,831,1
1366,837,5
1366,844,1
1366,851,1
1366,863,1
1366,871,1
1366,888,1
1366,898,3
1366,906,1
1366,926,1
1366,930,1
1366,932,1
1366,940,1
1366,941,4
1366,945,1
1366,951,1
1366,957,1
1366,964,1
1366,966,2
1366,973,1
1366,976,2
1366,977,1
1366,987,1
1366,988,1
1366,993,1
1366,994,2
1366,996,1
1366,1005,1
1366,1006,1
1366,1008,2
1366,1014,1
1366,1017,1
1366,1018,2
1366,1019,1
1366,1020,1
1366,1022,4
1366,1023,2
1366,1024,5
1366,1025,1
1366,1026,2
1366,1028,1
1366,1030,2
1366,1032,2
1366,1034,25
1366,1035,1
1366,1036,4
1366,1037,7
1366,1040,5
1366,1044,1
1366,1048,4
1366,1049,1
1366,1050,4
1366,1051,1
1366,1052,1
1366,1054,2
1366,1055,1
1366,1057,1
1366,1063,1
1366,1066,83
1366,1069,2
1366,1073,1
1366,1074,1
1366,1076,1
1366,1081,2
1366,1083,3
1366,1085,1
1366,1092,15
1366,1095,1
1366,1096,1
1366,1099,1
1366,1102,2
1366,1103,1
1366,1106,1
1366,1116,1
1366,1123,1
1366,1124,1
1366,1129,1
1366,1130,2
1366,1131,1
1366,1133,1
1366,1136,2
1366,1138,5
1366,1150,1
1366,1152,1
1366,1160,1
1366,1161,2
1366,1162,1
1366,1165,4
1366,1166,1
1366,1167,1
1366,1173,1
1366,1177,1
1366,1180,1
1366,1182,1
1366,1187,3
1366,1191,1
1366,1195,1
1366,1201,1
1366,1204,3
1366,1208,2
1366,1211,2
1366,1216,3
1366,1217,4
1366,1225,1
1366,1229,1
1366,1230,1
1366,1235,1
1366,1241,10
1366,1243,4
1366,1246,1
1366,1249,1
1366,1250,2
1366,1251,1
1366,1254,1
1366,1255,4
1366,1256,3
1366,1259,1
1366,1261,1
1366,1264,6
1366,1265,1
1366,1266,1
1366,1267,1
1366,1270,1
1366,1271,1
1366,1272,2
1366,1275,1
1366,1277,2
1366,1280,4
1366,1282,1
1366,1284,2
1366,1285,1
1366,1287,2
1366,1288,2
1366,1290,2
1366,1291,3
1366,1292,7
1366,1293,1
1366,1294,1
1366,1296,2
1366,1297,1
1366,1298,3
1366,1299,3
1366,1300,2
1366,1301,12
1366,1302,3
1366,1303,5
1366,1304,29
1366,1305,2
1366,1306,1
1366,1307,1
1366,1311,1
1366,1315,1
1366,1316,1
1366,1317,3
1366,1318,2
1366,1319,1
1366,1320,1
1366,1322,3
1366,1323,1
1366,1324,2
1366,1325,1
1366,1326,1
1366,1329,6
1366,1331,2
1366,1333,12
1366,1334,8
1366,1335,2
1366,1336,4
1366,1337,3
1366,1338,3
1366,1339,2
1366,1340,2
1366,1341,20
1366,1342,2
1366,1343,2
1366,1344,6
1366,1345,544
1366,1346,48
1366,1347,5
1366,1348,25
1366,1349,4
1366,1350,38
1366,1351,2
1366,1352,6
1366,1353,2
1366,1354,2
1366,1355,2
1366,1356,5
1366,1357,3
1366,1358,5
1366,1359,2
1366,1360,10
1366,1362,14
1366,1363,2
1366,1364,6
1366,1365,4
1366,1366,8510
1366,1367,2
1366,1368,2
1366,1370,3
1366,1372,2
1366,1376,1
1366,1419,1
1366,1440,2
1366,1517,14
1366,1521,1
1366,1600,1
1366,1680,1
1366,1920,3
1024,222,1
1024,310,1
1024,428,1
1024,486,1
1024,499,1
1024,502,1
1024,519,1
1024,528,1
1024,538,1
1024,540,1
1024,547,1
1024,550,1
1024,555,1
1024,567,3
1024,569,3
1024,570,2
1024,571,6
1024,572,3
1024,575,1
1024,601,1
1024,610,1
1024,611,2
1024,615,1
1024,630,1
1024,638,1
1024,640,1
1024,659,2
1024,663,1
1024,682,5
1024,686,1
1024,688,1
1024,693,2
1024,694,1
1024,703,1
