resolution,viewport,frequency
320,626,4
320,768,4
320,980,128
320,981,14
480,480,2
480,800,2
480,980,20
480,1024,15
480,1067,1
540,320,2
540,360,4
540,980,19
640,616,2
640,623,4
640,640,6
683,669,6
683,683,6
683,1025,1
720,320,43
720,360,2
720,633,2
720,678,2
720,980,102
768,294,2
768,480,9
768,594,2
768,607,2
768,608,4
768,620,2
768,623,2
768,640,28
768,641,11
768,721,2
768,724,8
768,736,2
768,742,24
768,768,17
768,828,2
768,921,2
768,980,2854
768,981,9665
768,1000,1
768,1024,9
800,320,2
800,500,4
800,588,5
800,609,2
800,610,4
800,703,2
800,731,2
800,758,2
800,759,4
800,761,2
800,763,11
800,764,5
800,765,2
800,767,2
800,769,4
800,770,2
800,771,20
800,772,2
800,776,4
800,777,2
800,778,4
800,779,85
800,780,25
800,784,2
800,786,4
800,787,2
800,790,10
800,791,6
800,792,28
800,797,8
800,800,647
800,888,2
800,979,65
800,980,38
800,1024,14
800,1056,1
800,1066,4
805,805,11
819,458,2
819,611,2
819,729,6
819,730,2
819,792,2
819,796,5
819,801,5
819,802,39
819,803,6
819,806,2
819,819,29
819,1004,1
842,543,2
842,842,8
844,822,2
844,844,8
853,553,2
853,652,2
853,713,2
853,815,2
853,837,4
853,838,2
853,839,23
853,840,4
853,842,2
853,853,34
857,857,15
886,876,4
886,886,6
893,893,12
904,904,12
911,521,2
911,557,2
911,839,5
911,869,2
911,891,4
911,897,2
911,899,2
911,911,111
936,693,2
936,918,4
936,922,2
936,936,33
939,752,7
939,931,2
939,939,20
943,943,31
960,812,2
960,944,2
960,946,12
960,947,4
960,949,4
960,951,5
960,952,2
960,960,32
960,980,4
972,959,5
972,972,6
979,600,4
979,964,5
979,965,5
979,979,45
983,943,2
983,961,2
983,963,11
983,964,5
983,983,72
987,687,2
987,987,8
991,799,2
991,967,2
991,975,7
991,991,20
1004,993,7
1004,1004,31
1017,770,2
1017,1001,6
1017,1004,1
1017,1005,1
1017,1017,138
1021,1000,2
1021,1021,9
1024,571,9
1024,592,5
1024,603,5
1024,626,7
1024,628,2
1024,630,6
1024,641,2
1024,680,2
1024,682,2
1024,686,2
1024,694,2
1024,703,2
1024,704,2
1024,708,2
1024,715,12
