resolution,viewport,frequency
768,208,1
768,226,1
768,251,1
768,254,1
768,315,1
768,319,1
768,320,3
768,388,1
768,414,1
768,415,1
768,424,1
768,450,1
768,471,1
768,480,6
768,481,1
768,482,1
768,497,1
768,498,1
768,505,1
768,537,1
768,540,1
768,547,1
768,553,2
768,556,1
768,569,1
768,590,1
768,596,1
768,600,1
768,603,1
768,613,1
768,616,1
768,620,1
768,623,2
768,627,1
768,632,1
768,637,2
768,640,16
768,641,2
768,644,1
768,649,1
768,654,1
768,667,1
768,672,1
768,673,1
768,676,1
768,680,2
768,681,1
768,685,1
768,687,1
768,688,1
768,693,1
768,695,1
768,715,1
768,716,2
768,722,1
768,727,1
768,732,2
768,735,1
768,736,2
768,741,2
768,742,7
768,745,1
768,746,1
768,748,5
768,751,1
768,753,2
768,755,1
768,758,1
768,760,2
768,762,1
768,763,1
768,768,12
768,776,1
768,784,1
768,792,1
768,913,2
768,976,2
768,980,2069
768,981,4607
768,1024,8
768,1257,1
800,320,10
800,371,2
800,427,1
800,438,1
800,480,1
800,500,2
800,533,1
800,571,1
800,572,1
800,592,3
800,610,1
800,635,3
800,639,1
800,646,1
800,681,7
800,683,1
800,691,1
800,695,1
800,698,4
800,700,1
800,701,1
800,703,6
800,705,1
800,716,1
800,717,1
800,719,1
800,726,1
800,729,3
800,731,2
800,732,5
800,733,2
800,735,1
800,740,1
800,742,1
800,743,1
800,744,1
800,745,3
800,746,2
800,747,1
800,748,2
800,749,1
800,750,1
800,752,3
800,753,4
800,754,3
800,755,4
800,756,2
800,757,6
800,759,4
800,760,1
800,761,1
800,762,1
800,763,10
800,764,5
800,765,1
800,766,14
800,767,3
800,768,7
800,769,8
800,770,16
800,771,41
800,772,19
800,773,3
800,774,2
800,775,3
800,776,3
800,777,7
800,778,10
800,779,203
800,780,91
800,782,3
800,783,2
800,784,11
800,785,2
800,786,2
800,787,3
800,789,4
800,790,11
800,791,3
800,792,11
800,793,1
800,794,1
800,795,3
800,798,3
800,800,776
800,802,2
800,888,10
800,960,7
800,979,18
800,980,68
800,1000,1
800,1003,1
800,1004,1
800,1015,1
800,1024,2
800,1066,9
800,1088,2
800,1201,1
800,1440,31
800,1718,1
1024,221,1
1024,282,1
1024,283,2
1024,300,1
1024,320,34
1024,338,1
1024,395,1
1024,399,1
1024,401,1
1024,430,1
1024,446,1
1024,450,1
1024,452,2
1024,453,4
1024,475,3
1024,481,2
1024,483,3
1024,487,1
1024,493,1
1024,495,2
1024,496,1
1024,507,1
1024,509,1
1024,510,1
1024,512,1
1024,522,2
1024,527,1
1024,533,2
1024,541,1
1024,550,1
1024,555,1
1024,563,3
1024,569,2
1024,571,11
1024,572,5
1024,584,1
1024,590,1
1024,592,1
1024,593,1
1024,599,1
1024,601,1
1024,603,2
1024,604,1
1024,605,2
1024,607,2
1024,609,1
1024,610,5
1024,611,3
1024,612,2
1024,614,1
1024,615,1
1024,616,2
1024,617,9
1024,618,2
1024,620,1
1024,622,1
1024,625,5
1024,626,2
1024,627,3
1024,628,1
1024,630,7
1024,631,1
1024,632,1
1024,639,1
1024,640,1
1024,644,3
1024,647,2
1024,656,2
1024,663,2
1024,666,1
1024,667,3
1024,671,2
1024,673,3
1024,677,2
1024,679,1
1024,680,1
1024,681,1
1024,682,4
1024,683,2
1024,685,1
1024,686,2
1024,688,2
1024,689,2
1024,690,1
1024,692,1
1024,693,3
1024,694,3
1024,695,1
1024,697,1
1024,699,4
1024,703,2
1024,704,1
1024,705,1
1024,706,1
1024,707,1
1024,708,4
1024,709,1
1024,710,1
1024,711,2
1024,714,1
1024,716,1
1024,717,2
1024,718,1
1024,721,2
1024,722,1
1024,724,56
1024,726,1
1024,731,1
1024,733,1
1024,735,1
1024,736,1
1024,738,1
1024,739,3
1024,740,5
1024,741,2
1024,743,4
1024,745,2
1024,746,2
1024,747,1
1024,750,1
1024,752,4
1024,753,1
1024,754,1
1024,756,3
1024,757,2
1024,758,2
1024,759,4
1024,760,3
1024,761,1
1024,762,3
1024,763,22
1024,764,15
1024,765,4
1024,766,1
1024,767,7
1024,768,3
1024,769,9
1024,770,4
1024,771,102
1024,772,24
1024,773,3
1024,774,2
1024,775,2
1024,776,1
1024,777,4
1024,778,1
1024,779,1
1024,781,3
1024,782,1
1024,783,1
1024,784,15
1024,787,1
1024,788,4
1024,790,1
1024,791,5
1024,792,1
1024,800,2
1024,801,2
1024,810,3
1024,811,3
1024,814,2
1024,818,5
1024,819,2
1024,821,2
1024,826,2
1024,830,2
1024,842,2
1024,848,2
1024,850,2
1024,864,6
1024,868,2
1024,871,2
1024,874,3
1024,877,2
1024,891,4
1024,895,2
1024,898,3
1024,899,5
1024,900,2
1024,901,2
1024,911,5
1024,912,2
1024,918,2
1024,925,2
1024,926,3
1024,929,4
1024,930,18
1024,931,4
1024,932,3
1024,935,4
1024,936,2
1024,943,2
1024,945,4
1024,947,2
1024,948,6
1024,950,8
1024,951,2
1024,954,6
1024,956,9
1024,957,4
1024,958,2
1024,959,20
1024,961,2
1024,962,23
1024,963,13
1024,966,2
1024,968,2
1024,969,5
1024,971,6
1024,972,3
1024,973,4
1024,974,15
1024,975,10
1024,976,7
1024,977,8
1024,978,10
1024,979,10
1024,980,98
1024,981,3
1024,982,4
1024,983,16
1024,984,27
1024,985,6
1024,986,57
1024,987,22
1024,988,42
1024,989,12
1024,990,24
1024,991,34
1024,992,23
1024,993,33
1024,994,272
1024,995,213
1024,996,47
1024,997,4
1024,998,8
1024,999,53
1024,1000,56
1024,1001,146
1024,1002,46
1024,1003,5831
1024,1004,1458
1024,1005,60
1024,1006,69
1024,1007,475
1024,1008,156
1024,1009,25
1024,1010,65
1024,1011,30
1024,1012,50
1024,1013,44
1024,1014,94
1024,1015,40
1024,1016,329
1024,1017,11
1024,1018,19
1024,1019,10
1024,1020,37
1024,1021,16
1024,1022,33
1024,1023,9
1024,1024,14502
1024,1025,9
1024,1026,39
1024,1027,1
1024,1028,3
1024,1031,2
1024,1034,9
1024,1036,1
1024,1040,39
1024,1041,3
1024,1044,1
1024,1050,1
1024,1051,1
1024,1052,1
1024,1054,2
1024,1055,1
1024,1065,2
1024,1066,1
1024,1069,2
1024,1104,1
1024,1126,3
1024,1137,20
1024,1138,1
1024,1147,1
1024,1197,2
1024,1216,3
1024,1228,7
1024,1259,2
1024,1263,23
1024,1280,2
1024,1365,3
1024,1366,1
1024,1474,1
1024,1536,1
1067,509,1
1067,589,1
1067,700,1
1067,759,1
1067,761,1
1067,767,1
1067,979,2
1067,985,2
1067,1000,1
1067,1001,1
1067,1004,1
1067,1007,1
1067,1008,2
1067,1011,4
1067,1013,1
1067,1017,1
