resolution,viewport,frequency
1280,320,1
1280,403,1
1280,475,1
1280,501,1
1280,509,1
1280,552,1
1280,572,2
1280,587,1
1280,625,1
1280,650,2
1280,667,2
1280,694,1
1280,739,1
1280,740,1
1280,743,1
1280,745,1
1280,755,2
1280,762,1
1280,763,3
1280,764,3
1280,765,1
1280,767,3
1280,769,2
1280,771,6
1280,772,3
1280,784,3
1280,803,1
1280,805,1
1280,819,1
1280,822,1
1280,825,1
1280,827,2
1280,842,1
1280,847,1
1280,848,1
1280,852,1
1280,860,2
1280,863,1
1280,872,1
1280,888,2
1280,893,1
1280,897,1
1280,901,1
1280,908,1
1280,910,1
1280,914,1
1280,921,1
1280,926,2
1280,928,2
1280,931,1
1280,936,2
1280,938,1
1280,940,1
1280,949,2
1280,950,1
1280,951,1
1280,953,1
1280,954,1
1280,956,3
1280,957,1
1280,958,2
1280,961,3
1280,962,1
1280,963,1
1280,964,1
1280,965,1
1280,966,1
1280,967,1
1280,969,1
1280,971,1
1280,972,1
1280,976,3
1280,979,2
1280,980,11
1280,983,1
1280,984,5
1280,985,2
1280,986,3
1280,987,2
1280,988,2
1280,990,3
1280,991,4
1280,992,2
1280,993,5
1280,994,3
1280,997,1
1280,998,2
1280,999,2
1280,1001,1
1280,1002,1
1280,1004,1
1280,1005,1
1280,1006,2
1280,1010,2
1280,1011,4
1280,1012,1
1280,1013,1
1280,1014,1
1280,1016,3
1280,1017,5
1280,1018,2
1280,1020,1
1280,1021,2
1280,1022,1
1280,1024,38
1280,1025,2
1280,1027,2
1280,1029,1
1280,1030,1
1280,1031,1
1280,1032,2
1280,1033,2
1280,1034,9
1280,1035,2
1280,1037,4
1280,1038,2
1280,1039,2
1280,1040,15
1280,1041,1
1280,1042,5
1280,1043,1
1280,1044,2
1280,1045,4
1280,1046,1
1280,1047,5
1280,1048,2
1280,1049,3
1280,1050,11
1280,1051,4
1280,1052,1
1280,1053,2
1280,1054,6
1280,1055,4
1280,1056,3
1280,1057,2
1280,1058,2
1280,1059,2
1280,1061,1
1280,1063,1
1280,1064,5
1280,1065,1
1280,1068,2
1280,1069,1
1280,1070,2
1280,1071,1
1280,1073,1
1280,1074,2
1280,1075,4
1280,1076,5
1280,1077,4
1280,1078,2
1280,1079,3
1280,1080,2
1280,1081,3
1280,1082,4
1280,1083,3
1280,1084,3
1280,1085,2
1280,1086,4
1280,1087,1
1280,1088,7
1280,1089,2
1280,1091,2
1280,1092,1
1280,1094,1
1280,1096,6
1280,1097,5
1280,1098,2
1280,1100,2
1280,1101,2
1280,1102,1
1280,1103,2
1280,1104,1
1280,1105,1
1280,1106,4
1280,1107,3
1280,1108,2
1280,1109,2
1280,1110,2
1280,1112,1
1280,1114,2
1280,1115,3
1280,1116,2
1280,1117,4
1280,1118,1
1280,1119,3
1280,1120,2
1280,1122,2
1280,1123,2
1280,1124,3
1280,1125,1
1280,1126,2
1280,1127,3
1280,1128,3
1280,1129,5
1280,1130,9
1280,1131,2
1280,1132,1
1280,1133,1
1280,1134,1
1280,1136,5
1280,1137,1
1280,1139,1
1280,1141,4
1280,1144,9
1280,1145,1
1280,1146,1
1280,1147,2
1280,1150,1
1280,1151,5
1280,1152,3
1280,1153,1
1280,1154,2
1280,1155,1
1280,1157,5
1280,1158,1
1280,1159,3
1280,1160,2
1280,1161,1
1280,1162,5
1280,1163,3
1280,1164,3
1280,1167,3
1280,1168,1
1280,1169,1
1280,1170,4
1280,1174,1
1280,1175,1
1280,1176,3
1280,1177,3
1280,1179,2
1280,1180,2
1280,1181,4
1280,1182,1
1280,1183,2
1280,1184,2
1280,1185,1
1280,1186,3
1280,1187,1
1280,1189,2
1280,1190,3
1280,1191,2
1280,1192,4
1280,1193,4
1280,1194,2
1280,1195,3
1280,1196,2
1280,1197,3
1280,1198,2
1280,1199,8
1280,1200,1
1280,1202,3
1280,1204,3
1280,1205,1
1280,1206,2
1280,1207,1
1280,1208,2
1280,1209,7
1280,1210,4
1280,1211,4
1280,1212,7
1280,1213,6
1280,1214,2
1280,1215,7
1280,1216,4
1280,1217,5
1280,1218,5
1280,1219,5
1280,1220,2
1280,1221,1
1280,1222,5
1280,1223,1
1280,1224,2
1280,1225,3
1280,1226,2
1280,1227,12
1280,1228,3
1280,1229,2
1280,1230,5
1280,1231,4
1280,1232,6
1280,1233,4
1280,1234,4
1280,1235,3
1280,1236,4
1280,1237,5
1280,1238,6
1280,1239,4
1280,1240,5
1280,1241,4
1280,1242,3
1280,1243,17
1280,1244,14
1280,1245,5
1280,1246,2
1280,1247,12
1280,1248,6
1280,1249,8
1280,1250,10
1280,1251,32
1280,1252,20
1280,1253,5
1280,1254,8
1280,1255,27
1280,1256,9
1280,1257,25
1280,1258,6
1280,1259,707
1280,1260,120
1280,1261,13
1280,1262,35
1280,1263,38
1280,1264,37
1280,1265,5
1280,1266,42
1280,1267,26
1280,1268,14
1280,1269,18
1280,1270,23
1280,1271,3
1280,1272,64
1280,1273,7
1280,1274,12
1280,1275,8
1280,1276,17
1280,1277,19
1280,1278,37
1280,1279,23
1280,1280,2914
1280,1282,5
1280,1284,1
1280,1290,1
1280,1346,1
1280,1375,1
1280,1415,1
1280,1419,2
1280,1449,1
1280,1536,1
1280,1659,2
1366,300,1
1366,319,1
1366,342,1
1366,443,1
1366,446,1
1366,448,2
1366,455,3
1366,519,1
1366,557,2
1366,624,1
1366,667,1
1366,698,2
1366,723,1
1366,731,1
1366,752,2
1366,764,1
1366,784,1
1366,816,1
1366,837,5
1366,845,1
1366,853,1
1366,860,1
1366,865,1
1366,878,1
1366,882,1
1366,889,1
1366,892,1
1366,922,1
1366,941,1
1366,946,1
1366,958,3
1366,970,1
1366,977,1
1366,978,1
1366,1000,2
1366,1001,1
1366,1005,1
1366,1007,2
1366,1011,1
1366,1012,1
1366,1014,1
1366,1016,1
1366,1020,1
1366,1021,1
1366,1024,5
1366,1026,2
1366,1030,1
1366,1031,1
1366,1032,1
1366,1034,9
1366,1035,1
1366,1036,3
1366,1037,7
1366,1038,2
1366,1040,2
1366,1042,1
1366,1043,4
1366,1044,10
1366,1045,1
1366,1046,1
1366,1052,1
1366,1055,1
1366,1056,2
1366,1057,1
1366,1062,2
1366,1066,7
1366,1072,2
1366,1073,1
1366,1074,2
1366,1075,1
1366,1076,2
1366,1077,1
1366,1078,1
1366,1079,1
1366,1081,1
1366,1084,1
