resolution,viewport,frequency
1366,300,1
1366,325,1
1366,434,1
1366,439,1
1366,458,1
1366,558,1
1366,572,1
1366,604,1
1366,607,1
1366,611,1
1366,622,2
1366,624,1
1366,640,3
1366,643,1
1366,646,1
1366,665,1
1366,669,1
1366,671,1
1366,673,1
1366,681,1
1366,683,1
1366,696,1
1366,697,1
1366,700,1
1366,701,1
1366,722,1
1366,725,1
1366,731,1
1366,739,1
1366,748,2
1366,750,1
1366,752,1
1366,760,1
1366,763,5
1366,764,1
1366,769,3
1366,771,3
1366,772,3
1366,776,1
1366,779,2
1366,780,1
1366,784,1
1366,785,1
1366,788,1
1366,790,3
1366,797,1
1366,798,4
1366,802,1
1366,815,1
1366,816,13
1366,817,1
1366,822,2
1366,824,5
1366,825,2
1366,828,1
1366,830,1
1366,831,1
1366,837,7
1366,839,1
1366,845,1
1366,862,1
1366,871,2
1366,877,1
1366,882,1
1366,884,2
1366,886,1
1366,887,1
1366,901,1
1366,910,4
1366,917,1
1366,936,3
1366,939,1
1366,945,1
1366,946,1
1366,963,1
1366,969,1
1366,971,1
1366,976,2
1366,979,1
1366,980,3
1366,983,1
1366,984,1
1366,985,1
1366,986,1
1366,987,1
1366,988,1
1366,990,1
1366,994,2
1366,995,2
1366,996,1
1366,997,1
1366,1001,1
1366,1003,1
1366,1004,2
1366,1007,1
1366,1008,2
1366,1012,3
1366,1014,1
1366,1015,3
1366,1017,2
1366,1022,1
1366,1024,7
1366,1025,1
1366,1027,1
1366,1028,1
1366,1031,1
1366,1032,2
1366,1033,1
1366,1034,31
1366,1035,1
1366,1037,17
1366,1038,2
1366,1040,15
1366,1042,2
1366,1045,1
1366,1050,4
1366,1060,3
1366,1063,1
1366,1066,6
1366,1068,1
1366,1069,1
1366,1073,1
1366,1075,3
1366,1076,2
1366,1077,1
1366,1080,2
1366,1085,1
1366,1086,3
1366,1089,2
1366,1090,1
1366,1092,7
1366,1096,1
1366,1100,2
1366,1101,1
1366,1104,1
1366,1106,1
1366,1107,1
1366,1110,1
1366,1111,1
1366,1113,1
1366,1115,1
1366,1120,2
1366,1122,1
1366,1123,1
1366,1125,1
1366,1127,1
1366,1128,1
1366,1130,1
1366,1132,3
1366,1134,1
1366,1135,1
1366,1136,1
1366,1138,5
1366,1139,1
1366,1141,1
1366,1143,1
1366,1144,1
1366,1149,2
1366,1150,3
1366,1151,3
1366,1152,1
1366,1160,2
1366,1162,2
1366,1163,1
1366,1167,1
1366,1169,1
1366,1174,1
1366,1181,1
1366,1184,1
1366,1186,2
1366,1189,1
1366,1191,2
1366,1193,1
1366,1196,1
1366,1198,1
1366,1201,1
1366,1203,1
1366,1210,1
1366,1213,1
1366,1215,1
1366,1216,1
1366,1219,1
1366,1223,1
1366,1227,2
1366,1231,2
1366,1232,2
1366,1235,2
1366,1236,2
1366,1238,1
1366,1239,1
1366,1241,16
1366,1242,1
1366,1243,1
1366,1244,2
1366,1245,1
1366,1247,1
1366,1251,1
1366,1252,1
1366,1253,2
1366,1255,2
1366,1256,1
1366,1259,1
1366,1260,1
1366,1261,1
1366,1264,2
1366,1270,1
1366,1271,1
1366,1272,2
1366,1274,1
1366,1275,1
1366,1277,2
1366,1278,7
1366,1279,2
1366,1283,7
1366,1286,6
1366,1287,1
1366,1288,6
1366,1289,2
1366,1290,1
1366,1291,3
1366,1292,8
1366,1293,2
1366,1294,1
1366,1295,1
1366,1297,1
1366,1298,1
1366,1299,1
1366,1300,1
1366,1301,18
1366,1302,4
1366,1303,2
1366,1304,22
1366,1305,2
1366,1309,4
1366,1310,1
1366,1311,3
1366,1313,1
1366,1315,11
1366,1316,2
1366,1317,1
1366,1319,1
1366,1321,1
1366,1322,3
1366,1323,6
1366,1325,3
1366,1326,3
1366,1327,5
1366,1328,2
1366,1329,5
1366,1330,3
1366,1331,3
1366,1332,4
1366,1333,20
1366,1334,1
1366,1336,3
1366,1337,6
1366,1338,2
1366,1339,2
1366,1340,8
1366,1341,30
1366,1342,8
1366,1343,13
1366,1344,3
1366,1345,1017
1366,1346,92
1366,1347,3
1366,1348,23
1366,1349,4
1366,1350,17
1366,1351,4
1366,1352,13
1366,1353,1
1366,1354,1
1366,1355,2
1366,1356,6
1366,1358,16
1366,1360,4
1366,1362,17
1366,1363,3
1366,1364,5
1366,1365,1
1366,1366,6908
1366,1368,1
1366,1370,1
1366,1378,1
1366,1383,1
1366,1517,13
1366,1518,1
1366,1821,3
1024,221,1
1024,231,1
1024,266,1
1024,300,1
1024,314,1
1024,365,1
1024,429,1
1024,451,2
1024,461,1
1024,467,2
1024,474,1
1024,491,1
1024,506,1
1024,515,1
1024,521,1
1024,524,1
1024,534,1
1024,544,1
1024,552,1
1024,569,1
1024,570,2
1024,571,4
1024,572,2
1024,575,1
1024,582,2
1024,585,1
1024,595,1
1024,600,1
1024,610,1
1024,612,1
1024,618,1
1024,626,1
1024,628,1
1024,635,1
1024,640,1
1024,647,1
1024,650,1
1024,668,2
1024,676,1
1024,682,1
1024,684,1
1024,689,1
1024,691,1
1024,703,1
1024,707,1
1024,710,1
1024,713,1
1024,716,2
1024,717,2
1024,724,6
1024,726,1
1024,728,1
1024,732,2
1024,737,3
1024,739,1
1024,743,1
1024,749,1
1024,753,1
1024,756,2
1024,760,1
1024,761,1
1024,763,4
1024,764,10
1024,767,2
1024,768,2
1024,769,1
1024,770,10
1024,771,25
1024,772,11
1024,774,1
1024,777,1
1024,780,1
1024,784,3
1024,788,3
1024,793,1
1024,795,1
1024,797,1
1024,798,2
1024,799,6
1024,801,1
1024,808,1
1024,819,2
1024,822,1
1024,824,1
1024,834,1
1024,836,1
1024,849,1
1024,850,1
1024,853,7
1024,863,1
1024,864,2
1024,872,1
1024,875,1
1024,880,1
1024,886,1
1024,888,1
1024,889,1
1024,891,1
1024,892,1
1024,898,6
1024,907,1
1024,908,2
1024,909,2
1024,910,1
1024,914,1
1024,915,1
1024,917,5
1024,918,1
1024,925,2
1024,930,1
1024,931,2
1024,934,2
1024,936,1
1024,938,1
1024,941,1
1024,943,2
1024,944,2
1024,946,1
1024,954,1
1024,955,2
1024,956,3
1024,957,3
1024,958,1
1024,959,4
1024,960,1
1024,961,2
1024,962,4
1024,963,5
1024,964,2
1024,965,2
1024,966,2
1024,967,2
1024,968,1
1024,971,3
1024,972,3
1024,973,4
1024,974,6
1024,975,3
1024,976,5
1024,977,4
1024,978,12
1024,979,6
1024,980,2
1024,981,5
1024,982,4
1024,983,4
1024,984,9
1024,985,6
1024,986,28
1024,987,10
1024,988,14
1024,989,7
1024,990,7
1024,991,31
1024,992,7
1024,993,15
1024,994,100
1024,995,30
1024,996,18
1024,997,8
1024,998,8
1024,999,12
1024,1000,8
1024,1001,27
1024,1002,6
1024,1003,1121
1024,1004,247
1024,1005,9
1024,1006,15
1024,1007,76
1024,1008,26
1024,1009,4
1024,1010,6
1024,1011,13
1024,1012,16
1024,1013,6
1024,1014,24
1024,1015,10
1024,1016,76
1024,1017,5
1024,1018,6
1024,1019,3
1024,1020,4
1024,1021,3
1024,1022,6
1024,1023,1
1024,1024,4310
1024,1025,3
1024,1026,13
1024,1028,1
1024,1033,1
1024,1040,34
1024,1049,2
1024,1050,2
1024,1052,1
1024,1072,1
1024,1103,1
1024,1137,3
1024,1138,1
1024,1360,1
1024,1474,2
1280,222,1
1280,240,1
1280,300,2
1280,336,1
1280,405,1
1280,419,2
1280,498,1
1280,499,1
1280,521,1
1280,559,1
1280,571,1
1280,581,3
1280,606,1
1280,609,1
1280,611,1
1280,612,1
1280,624,1
1280,628,1
1280,638,2
1280,640,1
1280,645,1
1280,650,1
1280,667,1
1280,690,2
1280,704,2
1280,709,1
1280,714,1
1280,726,1
1280,730,1
1280,732,1
1280,736,1
1280,748,1
1280,761,1
1280,763,10
1280,765,3
1280,769,3
1280,770,1
1280,771,12
1280,772,7
1280,773,2
1280,776,2
1280,782,1
1280,784,12
1280,785,1
1280,787,1
1280,789,2
1280,791,1
1280,792,2
1280,796,1
1280,800,6
1280,801,1
1280,813,7
1280,818,1
1280,823,1
1280,824,1
1280,825,1
1280,828,1
1280,830,1
1280,835,1
1280,838,1
1280,845,1
