resolution,viewport,frequency
768,281,1
768,589,1
768,641,1
768,694,1
768,699,1
768,768,3
768,911,1
768,980,69
768,981,210
768,1024,2
800,611,1
800,644,1
800,703,1
800,727,1
800,746,1
800,758,1
800,760,1
800,763,2
800,764,1
800,766,2
800,769,1
800,770,2
800,771,4
800,772,2
800,777,1
800,778,1
800,779,25
800,780,6
800,781,1
800,784,3
800,785,1
800,792,1
800,800,88
800,960,1
800,961,1
800,1024,3
819,610,1
819,722,2
819,782,1
819,797,1
819,799,4
819,802,12
819,803,1
819,805,1
819,806,1
819,816,1
819,819,5
853,837,1
853,839,11
853,843,1
853,853,5
911,833,2
911,866,1
911,883,1
911,897,13
911,911,19
911,1093,1
936,635,1
936,697,2
936,860,1
936,910,1
936,917,6
936,918,3
936,936,7
960,943,2
960,946,7
960,947,1
960,952,1
960,960,5
979,964,1
979,979,14
983,955,1
983,962,1
983,963,5
983,983,23
1017,983,1
1017,1017,17
1024,300,1
1024,333,1
1024,400,1
1024,409,1
1024,443,1
1024,472,2
1024,487,1
1024,570,1
1024,588,1
1024,610,2
1024,611,1
1024,614,1
1024,627,1
1024,662,1
1024,669,1
1024,682,1
1024,687,1
1024,717,1
1024,719,1
1024,724,2
1024,725,2
1024,729,2
1024,739,1
1024,743,1
1024,747,2
1024,755,2
1024,757,1
1024,759,1
1024,762,2
1024,763,1
1024,764,2
1024,766,3
1024,767,2
1024,769,1
1024,770,2
1024,771,11
1024,772,3
1024,773,1
1024,774,2
1024,775,2
1024,777,1
1024,781,1
1024,784,2
1024,790,1
1024,791,1
1024,798,1
1024,800,1
1024,802,1
1024,805,1
1024,812,1
1024,815,2
1024,821,1
1024,825,1
1024,827,2
1024,836,1
1024,837,1
1024,841,1
1024,846,1
1024,848,1
1024,849,1
1024,852,1
1024,856,1
1024,860,2
1024,864,1
1024,869,1
1024,872,1
1024,878,1
1024,879,1
1024,880,1
1024,887,1
1024,888,2
1024,889,1
1024,893,1
1024,896,1
1024,897,2
1024,903,3
1024,915,1
1024,916,2
1024,917,1
1024,918,1
1024,919,1
1024,920,2
1024,921,1
1024,922,1
1024,923,1
1024,924,1
1024,928,1
1024,929,2
1024,930,3
1024,932,3
1024,933,3
1024,934,4
1024,935,1
1024,940,2
1024,944,2
1024,945,1
1024,946,3
1024,950,2
1024,951,4
1024,952,1
1024,954,4
1024,955,1
1024,957,3
1024,958,1
1024,959,8
1024,960,2
1024,961,4
1024,962,6
1024,963,6
1024,964,1
1024,966,1
1024,967,2
1024,968,3
1024,969,3
1024,970,6
1024,971,5
1024,972,7
1024,973,3
1024,974,4
1024,975,5
1024,976,6
1024,977,5
1024,978,5
1024,979,4
1024,980,13
1024,981,2
1024,982,10
1024,983,5
1024,984,10
1024,985,7
1024,986,11
1024,987,8
1024,988,16
1024,989,7
1024,990,17
1024,991,14
1024,992,13
1024,993,14
1024,994,58
1024,995,62
1024,996,22
1024,997,3
1024,998,6
1024,999,25
1024,1000,4
1024,1001,30
1024,1002,10
1024,1003,1075
1024,1004,232
1024,1005,7
1024,1006,17
1024,1007,149
1024,1008,32
1024,1009,5
1024,1010,9
1024,1011,7
1024,1012,7
1024,1013,8
1024,1014,32
1024,1015,7
1024,1016,39
1024,1017,1
1024,1018,6
1024,1019,1
1024,1020,12
1024,1021,2
1024,1022,7
1024,1023,1
1024,1024,2318
1024,1025,2
1024,1026,9
1024,1034,2
1024,1040,32
1024,1042,1
1024,1068,1
1024,1080,1
1024,1094,2
1024,1126,2
1024,1137,14
1024,1228,4
1058,770,1
1058,862,1
1058,991,1
1058,1001,1
1058,1037,1
1058,1038,2
1058,1041,7
1058,1058,39
1067,980,1
1067,1017,1
1067,1024,2
1067,1028,1
1067,1036,1
1067,1039,7
1067,1040,1
1067,1045,1
1067,1053,1
1067,1067,21
1080,805,1
1080,1035,1
1080,1039,2
1080,1041,1
1080,1051,2
1080,1053,1
1080,1058,14
1080,1059,3
1080,1063,1
1080,1080,18
1088,1006,1
1088,1071,6
1088,1088,10
1093,782,1
1093,790,1
1093,896,1
1093,954,1
1093,998,2
1093,999,1
1093,1002,1
1093,1003,1
1093,1013,1
1093,1020,2
1093,1022,1
1093,1026,1
1093,1033,1
1093,1038,1
1093,1042,1
1093,1043,2
1093,1046,1
1093,1051,1
1093,1053,1
1093,1062,1
1093,1063,1
1093,1066,1
1093,1073,10
1093,1074,1
